KEY,EN,DE,RU,KA,FR,ES
wallet_entry.income_subtitle,"Salary, freelance, gift, investment return…","Gehalt, Freiberuf, Geschenk, Investitionsrendite…","Зарплата, фриланс, подарок, доход от инвестиций…","ხელფასი, ფრილანსი, საჩუქარი, საინვესტიციო შემოსავალი…","Salaire, freelance, cadeau, rendement d'investissement…","Salario, autónomo, regalo, rendimiento de inversión…"
wallet_entry.add_expense,ADD AN EXPENSE,AUSGABE HINZUFÜGEN,ДОБАВИТЬ РАСХОД,ხარჯის დამატება,AJOUTER UNE DÉPENSE,AGREGAR UN GASTO
wallet_entry.expense_subtitle,"Food, transport, bills, shopping, travel…","Essen, Transport, Rechnungen, Einkaufen, Reisen…","Еда, транспорт, счета, покупки, путешествия…","საკვები, ტრანსპორტი, გადასახადები, საყიდლები, მოგზაურობა…","Nourriture, transport, factures, shopping, voyages…","Comida, transporte, facturas, compras, viajes…"
wallet_entry.group_hint,You can also add group expenses from the Groups tab.,Sie können auch Gruppenausgaben aus dem Gruppen-Tab hinzufügen.,Вы также можете добавить групповые расходы на вкладке «Группы».,ასევე შეგიძლიათ დაამატოთ ჯგუფური ხარჯები ჯგუფების ჩანართიდან.,Vous pouvez également ajouter des dépenses de groupe depuis l'onglet Groupes.,También puede agregar gastos de grupo desde la pestaña Grupos.
invite_friend.title,Invite a Friend,Freund einladen,Пригласить друга,მეგობრის მოწვევა,Inviter un ami,Invitar a un amigo
invite_friend.headline,Share your personal link,Deinen persönlichen Link teilen,Поделитесь своей личной ссылкой,გაუზიარეთ თქვენი პერსონალური ბმული,Partagez votre lien personnel,Comparte tu enlace personal
invite_friend.subtitle,Anyone who joins via your link will be automatically connected to you on SetAll.,"Jeder, der über deinen Link beitritt, wird automatisch mit dir auf SetAll verbunden.","Все, кто присоединяется по вашей ссылке, будут автоматически связаны с вами в SetAll.","ყველა, ვინც თქვენი ბმულით შემოვა, ავტომატურად დაუკავშირდება თქვენ SetAll-ზე.",Toute personne qui rejoint via votre lien sera automatiquement connectée à vous sur SetAll.,Cualquiera que se una a través de tu enlace se conectará automáticamente contigo en SetAll.
invite_friend.share_text,Join me on SetAll to track our shared expenses: {link},Begleite mich auf SetAll zur Verfolgung unserer gemeinsamen Ausgaben: {link},Присоединяйтесь ко мне в SetAll для отслеживания общих расходов: {link},შემომიერთდი SetAll-ში ჩვენი საერთო ხარჯების თვალსაყოლებლად: {link},Rejoignez-moi sur SetAll pour suivre nos dépenses partagées : {link},Únete a mí en SetAll para rastrear nuestros gastos compartidos: {link}
invite_friend.link_copied,Link copied!,Link kopiert!,Ссылка скопирована!,ბმული დაკოპირდა!,Lien copié !,¡Enlace copiado!
invite_friend.copy_link,Copy link,Link kopieren,Скопировать ссылку,ბმულის კოპირება,Copier le lien,Copiar enlace
invite_friend.share_via,Share via…,Teilen über…,Поделиться через…,გაზიარება…,Partager via…,Compartir por…
invite_friend.share_subject,Join me on SetAll,Begleite mich auf SetAll,Присоединяйтесь ко мне в SetAll,შემომიერთდი SetAll-ში,Rejoignez-moi sur SetAll,Únete a mí en SetAll
invite_friend.footer,Your link is unique to your account and never expires.,Dein Link ist einzigartig für dein Konto und läuft nie ab.,Ваша ссылка уникальна для вашего аккаунта и никогда не истекает.,თქვენი ბმული უნიკალურია თქვენი ანგარიშისთვის და არასოდეს ვადა ეწურება.,Votre lien est unique à votre compte et n'expire jamais.,Tu enlace es único para tu cuenta y nunca expira.
group_picker.title,Add expense,Ausgabe hinzufügen,Добавить расход,ხარჯის დამატება,Ajouter une dépense,Añadir gasto
group_picker.choose_group,Choose a group,Gruppe auswählen,Выберите группу,აირჩიეთ ჯგუფი,Choisir un groupe,Elige un grupo
group_picker.new_group,New group,Neue Gruppe,Новая группа,ახალი ჯგუფი,Nouveau groupe,Nuevo grupo
group_picker.no_groups,"No groups yet. Tap ""New group"" to create one.","Noch keine Gruppen. Tippe auf ""Neue Gruppe"".",Групп пока нет. Нажмите «Новая группа».,ჯგუფები ჯერ არ არის. დააჭირეთ «ახალი ჯგუფი».,"Pas encore de groupes. Appuyez sur ""Nouveau groupe"".","Sin grupos añadidos. Pulsa ""Nuevo grupo""."
group_picker.could_not_load,Could not load groups,Gruppen konnten nicht geladen werden,Не удалось загрузить группы,ჯგუფების ჩატვირთვა ვერ მოხდა,Impossible de charger les groupes,No se pudieron cargar los grupos
lang_prompt.title,Language detected,Sprache erkannt,Язык обнаружен,ენა გამოვლინდა,Langue détectée,Idioma detectado
lang_prompt.body,Your device language is {language}. Continue or choose another?,Erkannte Sprache: {language}. Weiter oder andere wählen?,Обнаружен язык: {language}. Продолжить или выбрать другой?,გამოვლინდა ენა: {language}. გაგრძელება თუ სხვის არჩევა?,Langue {language} détectée. Continuer ou en choisir une autre ?,Idioma {language} detectado. ¿Continuar o elegir otro?
lang_prompt.keep,Continue in {language},Weiter auf {language},Продолжить на {language},გაგრძელება {language}-ზე,Continuer en {language},Continuar en {language}
lang_prompt.change,Choose language,Sprache wählen,Выбрать язык,ენის არჩევა,Choisir la langue,Elegir idioma
