key,en,de,es,fr,ka,ru
settings_ext.enter_valid_email,Enter a valid email address.,Gib eine gültige E-Mail-Adresse ein.,Introduce una dirección de correo electrónico válida.,Entrez une adresse e-mail valide.,შეიყვანეთ სწორი ელ-ფოსტის მისამართი.,Введите корректный адрес электронной почты.
settings_ext.error_generic,Error: {error},Fehler: {error},Error: {error},Erreur : {error},შეცდომა: {error},Ошибка: {error}
settings_ext.expenses_cleared,All expenses cleared,Alle Ausgaben gelöscht,Todos los gastos borrados,Toutes les dépenses effacées,ყველა ხარჯი გასუფთავდა,Все расходы очищены
settings_ext.import_splitwise,Import from Splitwise,Import von Splitwise,Importar de Splitwise,Importer de Splitwise,Splitwise-დან იმპორტი,Импорт из Splitwise
settings_ext.import_splitwise_subtitle,CSV import — map expenses into your Wallet,CSV-Import — Ausgaben in Wallet importieren,Importación CSV — mapea gastos a tu Cartera,Import CSV — mapper les dépenses dans votre Portefeuille,CSV იმპორტი — ხარჯების გადატანა საფულეში,CSV импорт — добавьте расходы в кошелёк
settings_ext.name_empty,Name cannot be empty,Name darf nicht leer sein,El nombre no puede estar vacío,Le nom ne peut pas être vide,სახელი ვერ იქნება ცარიელი,Имя не может быть пустым
settings_ext.name_hint,Your name,Ihr Name,Tu nombre,Votre nom,თქვენი სახელი,Ваше имя
settings_ext.nickname_hint,yourhandle (no @),ihrname (kein @),tunombre (sin @),votrenom (sans @),თქვენისახელი (@ გარეშე),вашник (без @)
settings_ext.nickname_optional,Nickname (optional),Spitzname (optional),Apodo (opcional),Surnom (facultatif),მეტსახელი (სურვილისამებრ),Никнейм (необязательно)
settings_ext.notifications,Notifications,Benachrichtigungen,Notificaciones,Notifications,შეტყობინებები,Уведомления
settings_ext.notifications_subtitle,Push and email alerts,Push- und E-Mail-Benachrichtigungen,Alertas push y por email,Alertes push et email,Push და Email შეტყობინებები,Push и email-уведомления
settings_ext.password_set,Password set! You can now sign in with email + password.,Passwort gesetzt! Sie können sich jetzt mit E-Mail + Passwort anmelden.,¡Contraseña establecida! Ahora puedes iniciar sesión con email + contraseña.,Mot de passe défini ! Vous pouvez maintenant vous connecter avec email + mot de passe.,პაროლი დაყენებულია! ახლა შეგიძლიათ შეხვიდეთ ელ-ფოსტით + პაროლით.,Пароль установлен! Теперь вы можете войти с помощью email + пароль.
settings_ext.password_updated,Password updated successfully.,Passwort erfolgreich aktualisiert.,Contraseña actualizada correctamente.,Mot de passe mis à jour avec succès.,პაროლი წარმატებით განახლდა.,Пароль успешно обновлён.
settings_ext.profile,Profile,Profil,Perfil,Profil,პროფილი,Профиль
settings_ext.regional,Regional Settings,Regionale Einstellungen,Configuración regional,Paramètres régionaux,რეგიონალური პარამეტრები,Региональные настройки
settings_ext.regional_subtitle,Date & time format,Datums- und Uhrzeitformat,Formato de fecha y hora,Format de date et d'heure,თარიღისა და დროის ფორმატი,Формат даты и времени
settings_ext.reset_cache,Reset Local Cache,Lokalen Cache zurücksetzen,Restablecer caché local,Réinitialiser le cache local,ლოკალური ქეშის გადატვირთვა,Сбросить кэш
settings_ext.reset_cache_subtitle,Wipes local DB and re-syncs from cloud. Fixes ghost data.,Lokale DB löschen und aus Cloud synchronisieren. Behebt Fehler.,Limpia la BD local y sincroniza desde la nube. Corrige errores.,Efface la BD locale et synchronise depuis le cloud. Corrige les erreurs.,ლოკალური DB-ის გასუფთავება და ღრუბლიდან სინქრონიზაცია.,Очищает локальную БД и синхронизирует из облака. Исправляет ошибки.
settings_ext.save_profile,Save Profile,Profil speichern,Guardar perfil,Enregistrer le profil,პროფილის შენახვა,Сохранить профиль
settings_ext.saved,Saved,Gespeichert,Guardado,Sauvegardé,შენახულია,Сохранено
settings_ext.security,Security,Sicherheit,Seguridad,Sécurité,უსაფრთხოება,Безопасность
settings_ext.security_subtitle,"Biometrics, PIN, fallback auth","Biometrie, PIN, Fallback-Authentifizierung","Biometría, PIN, autenticación de respaldo","Biométrie, PIN, authentification de secours","ბიომეტრია, PIN, სარეზერვო ავთენტიკაცია","Биометрия, PIN, резервная аутентификация"
settings_ext.set_password,Set Password,Passwort setzen,Establecer contraseña,Définir le mot de passe,პაროლის დაყენება,Установить пароль
settings_ext.set_password_subtitle,Add a password to enable email + password login,Passwort für E-Mail + Passwort-Login hinzufügen,Añade una contraseña para email + contraseña,Ajouter un mot de passe pour email + mot de passe,დაამატეთ პაროლი Email + პაროლით შესვლისთვის,Добавьте пароль для входа по email
settings_ext.tap_change_email,Tap to change email,Tippen zum Ändern der E-Mail,Toca para cambiar email,Appuyer pour changer l'email,შეეხეთ Email-ის შესაცვლელად,Нажмите для изменения email
settings_ext.theme_dark,Dark,Dunkel,Oscuro,Sombre,მუქი,Тёмная
settings_ext.theme_light,Light,Hell,Claro,Clair,ღია,Светлая
settings_ext.theme_system,System default,Systemstandard,Predeterminado del sistema,Défaut du système,სისტემის ნაგულისხმევი,По умолчанию
settings_ext.update_available,Update Available,Update verfügbar,Actualización disponible,Mise à jour disponible,განახლება ხელმისაწვდომია,Доступно обновление
settings_ext.update_now,Update Now,Jetzt aktualisieren,Actualizar ahora,Mettre à jour maintenant,განახლება ახლა,Обновить
settings_ext.upload_photo_error,Could not upload photo,Foto konnte nicht hochgeladen werden,No se pudo subir la foto,Impossible de télécharger la photo,ფოტოს ატვირთვა ვერ მოხდა,Не удалось загрузить фото
settings_ext.uploading_photo,Uploading…,Wird hochgeladen…,Subiendo…,Envoi en cours…,იტვირთება…,Загрузка…
settings_ext.version_prefix,Version,Version,Versión,Version,ვერსია,Версия
voice_entry.amount_label,Amount,Betrag,Importe,Montant,თანხა,Сумма
voice_entry.cancel_btn,Cancel,Abbrechen,Cancelar,Annuler,გაუქმება,Отмена
voice_entry.clarify_prompt,What did you mean?,Was meintest du?,¿Qué quisiste decir?,Que vouliez-vous dire ?,რას გულისხმობდით?,Что вы имели в виду?
voice_entry.confirm_btn,Confirm,Bestätigen,Confirmar,Confirmer,დადასტურება,Подтвердить
voice_entry.confirm_title,Confirm Entry,Eintrag bestätigen,Confirmar entrada,Confirmer l'entrée,ჩანაწერის დადასტურება,Подтвердить запись
voice_entry.couldnt_hear,"Couldn't hear you, trying again…","Nicht gehört, versuche es erneut…","No te escuché, reintentando…","Je n'ai pas entendu, nouvel essai…","ვერ გავიგე, ვცდი ხელახლა…","Не расслышал, пробую снова…"
voice_entry.description_label,Description,Beschreibung,Descripción,Description,აღწერა,Описание
voice_entry.error_retry,Try Again,Erneut versuchen,Intentar de nuevo,Réessayer,ხელახლა ცდა,Попробовать снова
voice_entry.error_title,Couldn't process that,Verarbeitung fehlgeschlagen,No se pudo procesar,Traitement impossible,დამუშავება ვერ მოხდა,Не удалось обработать
voice_entry.group_label,Group,Gruppe,Grupo,Groupe,ჯგუფი,Группа
voice_entry.listening,Listening…,Höre zu…,Escuchando…,J'écoute…,ვუსმენ…,Слушаю…
voice_entry.processing,Understanding your entry…,Eintrag wird verarbeitet…,Procesando entrada…,Traitement en cours…,ვამუშავებ ჩანაწერს…,Обрабатываю запись…
voice_entry.saved,Saved!,Gespeichert!,¡Guardado!,Enregistré !,შენახულია!,Сохранено!
voice_entry.saving,Saving…,Speichern…,Guardando…,Enregistrement…,ინახება…,Сохраняю…
voice_entry.tap_to_stop,Tap to stop,Tippen zum Stoppen,Toca para detener,Appuyer pour arrêter,შეჩერებისთვის შეეხეთ,Нажмите для остановки
voice_entry.wallet_label,Wallet,Geldbörse,Cartera,Portefeuille,საფულე,Кошелёк
wallet.expenses,Expenses,Ausgaben,Gastos,Dépenses,ხარჯები,Расходы
wallet.income,Income,Einnahmen,Ingresos,Revenus,შემოსავალი,Доходы
wallet.net,Net,Netto,Neto,Net,სულ,Нетто
wallet.no_entries,No wallet entries yet,Keine Einträge in der Geldbörse,Sin entradas en la cartera,Aucune entrée dans le portefeuille,საფულეში ჩანაწერი არ არის,Записей в кошельке нет
wallet.start_tracking,Start Tracking,Tracking starten,Empezar a registrar,Commencer le suivi,დაიწყეთ აღრიცხვა,Начать учёт
wallet.title,Wallet,Geldbörse,Cartera,Portefeuille,საფულე,Кошелёк
wallet_entry.add_expense,ADD AN EXPENSE,AUSGABE HINZUFÜGEN,AGREGAR UN GASTO,AJOUTER UNE DÉPENSE,ხარჯის დამატება,ДОБАВИТЬ РАСХОД
wallet_entry.add_income,ADD AN INCOME,EINNAHME HINZUFÜGEN,AGREGAR UN INGRESO,AJOUTER UN REVENU,შემოსავლის დამატება,ДОБАВИТЬ ДОХОД
wallet_entry.choose_direction,Choose the direction of this wallet entry.,Wähle die Richtung dieses Wallet-Eintrags.,Elige la dirección de esta entrada de cartera.,Choisissez le sens de cette entrée dans le portefeuille.,აირჩიეთ ამ საფულის ჩანაწერის მიმართულება.,Выберите направление этой записи кошелька.
wallet_entry.expense_subtitle,"Food, transport, bills, shopping, travel…","Essen, Transport, Rechnungen, Einkaufen, Reisen…","Comida, transporte, facturas, compras, viajes…","Nourriture, transport, factures, shopping, voyages…","საკვები, ტრანსპორტი, გადასახადები, საყიდლები, მოგზაურობა…","Еда, транспорт, счета, покупки, путешествия…"
wallet_entry.group_hint,You can also add group expenses from the Groups tab.,Du kannst auch Gruppenausgaben im Gruppen-Tab hinzufügen.,También puedes agregar gastos de grupo desde la pestaña Grupos.,Vous pouvez également ajouter des dépenses de groupe depuis l'onglet Groupes.,ასევე შეგიძლიათ დაამატოთ ჯგუფური ხარჯები ჯგუფების ჩანართიდან.,Вы также можете добавить групповые расходы на вкладке «Группы».
wallet_entry.income_subtitle,"Salary, freelance, gift, investment return…","Gehalt, Freiberuf, Geschenk, Investitionsrendite…","Salario, autónomo, regalo, rendimiento de inversión…","Salaire, freelance, cadeau, rendement d'investissement…","ხელფასი, ფრილანსი, საჩუქარი, საინვესტიციო შემოსავალი…","Зарплата, фриланс, подарок, доход от инвестиций…"
wallet_entry.title,Add Wallet Entry,Wallet-Eintrag hinzufügen,Agregar entrada de cartera,Ajouter une entrée de portefeuille,საფულის ჩანაწერის დამატება,Добавить запись в кошелёк
wallet_entry.what_type,What type of entry?,Welche Art von Eintrag?,¿Qué tipo de entrada?,Quel type d'entrée ?,ჩანაწერის სახეობა?,Какой тип записи?
wallet_screen.add_entry,Add wallet entry,Eintrag hinzufügen,Añadir entrada,Ajouter une entrée,ჩანაწერის დამატება,Добавить запись
wallet_screen.all_entries,All entries,Alle Einträge,Todas las entradas,Toutes les entrées,ყველა ჩანაწერი,Все записи
wallet_screen.delete_confirm,Delete {count} wallet entries? This cannot be undone.,{count} Einträge löschen? Dies kann nicht rückgängig gemacht werden.,¿Eliminar {count} entradas? Esto no se puede deshacer.,Supprimer {count} entrées ? Cette action est irréversible.,{count} ჩანაწერის წაშლა? ეს შეუქცევადია.,Удалить {count} записей? Это нельзя отменить.
wallet_screen.delete_confirm_one,Delete 1 wallet entry? This cannot be undone.,1 Eintrag löschen? Dies kann nicht rückgängig gemacht werden.,¿Eliminar 1 entrada? Esto no se puede deshacer.,Supprimer 1 entrée ? Cette action est irréversible.,1 ჩანაწერის წაშლა? ეს შეუქცევადია.,Удалить 1 запись? Это нельзя отменить.
wallet_screen.delete_title,Delete entries?,Einträge löschen?,¿Eliminar entradas?,Supprimer les entrées ?,ჩანაწერების წაშლა?,Удалить записи?
wallet_screen.entry_count_one,1 entry,1 Eintrag,1 entrada,1 entrée,1 ჩანაწერი,1 запись
wallet_screen.entry_count_other,{count} entries,{count} Einträge,{count} entradas,{count} entrées,{count} ჩანაწერი,{count} записей
wallet_screen.expense_entries,Expense entries,Ausgabeeinträge,Entradas de gastos,Entrées de dépenses,ხარჯის ჩანაწერები,Записи расходов
wallet_screen.filter_all,All,Alle,Todo,Tout,ყველა,Все
wallet_screen.filter_expense,Expense,Ausgaben,Gastos,Dépenses,ხარჯი,Расходы
wallet_screen.filter_income,Income,Einnahmen,Ingresos,Revenus,შემოსავალი,Доходы
wallet_screen.income_breakdown,Income breakdown,Einnahmenübersicht,Desglose de ingresos,Répartition des revenus,შემოსავლების დეტალი,Разбивка доходов
wallet_screen.income_entries,Income entries,Einnahmeeinträge,Entradas de ingresos,Entrées de revenus,შემოსავლის ჩანაწერები,Записи доходов
wallet_screen.no_entries_found,No entries found,Keine Einträge gefunden,No se encontraron entradas,Aucune entrée trouvée,ჩანაწერი ვერ მოიძებნა,Записей не найдено
wallet_screen.no_entries_hint,Try a different filter or add a new entry.,Anderen Filter wählen oder neuen Eintrag hinzufügen.,Prueba un filtro diferente o añade una nueva entrada.,Essayez un autre filtre ou ajoutez une entrée.,სცადეთ სხვა ფილტრი ან დაამატეთ ჩანაწერი.,Попробуйте другой фильтр или добавьте запись.
wallet_screen.personal_wallet,Personal wallet,Persönliche Brieftasche,Cartera personal,Portefeuille personnel,პირადი საფულე,Личный кошелёк
wallet_screen.report_all_transactions,All wallet transactions,Alle Geldbörsentransaktionen,Todas las transacciones del monedero,Toutes les transactions du portefeuille,საფულის ყველა ტრანზაქცია,Все операции кошелька
wallet_screen.report_category_breakdown,Category breakdown,Kategorieaufschlüsselung,Desglose por categoría,Répartition par catégorie,კატეგორიების დეტალი,Разбивка по категориям
wallet_screen.report_entry_list,Entry list,Eintragliste,Lista de entradas,Liste des entrées,ჩანაწერების სია,Список записей
wallet_screen.sort_tooltip,Sort,Sortieren,Ordenar,Trier,დალაგება,Сортировка
wallet_screen.spending_breakdown,Spending breakdown,Ausgabenübersicht,Desglose de gastos,Répartition des dépenses,ხარჯების დეტალი,Разбивка расходов
